,Name,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price
1345,Mercedes-Benz New C-Class,2011,45000,Petrol,Second,1350000
1346,Maruti Wagon R,2014,40000,CNG,Second,315000
1347,Maruti Alto LXi,2012,49008,Petrol,First,288000
1348,Maruti Alto 800,2016,31000,Petrol,First,215000
1349,Nissan Sunny 2011-2014,2013,8000,Petrol,First,375000
1350,Maruti Alto 800,2019,171,Petrol,First,360000
1351,Maruti Alto K10,2018,2100,Petrol,First,360000
1352,Hyundai Grand i10,2018,20667,Petrol,First,755000
1353,Honda Mobilio S,2015,50000,Diesel,First,470000
1354,Tata Manza Aqua,2010,100030,Diesel,Second,160000
1355,Chevrolet Optra Magnum,2011,75372,Diesel,First,334000
1356,Honda City i,2016,60475,Petrol,First,910000
1357,Hyundai Grand i10,2019,18453,Petrol,First,617000
1358,Hyundai Verna CRDi,2008,96578,Diesel,First,250000
1359,Nissan Micra XL,2016,31001,Petrol,First,300000
1360,Hyundai Verna 1.6,2012,65900,Diesel,First,575000
1361,Hyundai Creta 1.6,2017,26246,Petrol,First,1075000
1362,Maruti Wagon R,2013,62700,Petrol,Second,285000
1363,Honda Accord 2.4,2008,90000,Petrol,First,650000
1364,Honda City 1.5,2016,36000,Petrol,First,944999
1365,Maruti Baleno Alpha,2016,46000,Diesel,First,675000
1366,Honda City i,2017,73003,Diesel,First,775000
1367,Hyundai i20 Era,2014,46566,Diesel,First,440000
1368,Mercedes-Benz E-Class 2015-2017,2015,41493,Diesel,First,4200000
1369,Nissan Terrano XV,2014,103788,Diesel,First,567000
1370,Renault Duster 110PS,2016,45000,Diesel,First,1150000
1371,Maruti Wagon R,2009,120000,Petrol,First,169000
1372,Hyundai Getz 1.5,2009,97359,Diesel,Second,180000
1373,Maruti Ritz LXi,2016,62000,Petrol,First,320000
1374,Honda City 1.5,2004,115000,Petrol,Second,150000
1375,BMW 5 Series,2019,18373,Diesel,First,4586000
1376,Volkswagen Polo 1.2,2016,60453,Petrol,First,509999
1377,Maruti Swift VDI,2013,37000,Diesel,First,484999
1378,Ford Figo Petrol,2010,69009,Petrol,Second,240000
1379,BMW 3 Series,2013,30000,Diesel,First,2200000
1380,Hyundai Verna 1.6,2012,70707,Diesel,First,428000
1381,Renault Duster 85PS,2015,64677,Diesel,First,567000
1382,Hyundai Grand i10,2018,3000,Petrol,First,620000
1383,BMW X1 sDrive20d,2013,49000,Diesel,Second,1449000
1384,Maruti Ritz VDi,2010,71000,Diesel,First,300000
1385,Hyundai i10 Era,2010,52000,Petrol,Second,225000
1386,BMW X5 2014-2019,2016,35659,Diesel,First,4378000
1387,Honda City V,2019,5377,Petrol,First,1145000
1388,Mahindra Ssangyong Rexton,2014,65000,Diesel,First,1050000
1389,Ford Ecosport 1.5,2015,92708,Diesel,First,748000
1390,Maruti Alto LXi,2010,48105,Petrol,First,310000
1391,Volkswagen Polo 1.2,2011,46759,Petrol,First,254999
1392,Volkswagen Polo Diesel,2013,62000,Diesel,First,350000
1393,Volkswagen Polo Diesel,2012,35175,Diesel,First,259000
1394,Maruti Ertiga ZDI,2013,70000,Diesel,First,545000
1395,Ford EcoSport 1.5,2017,30000,Diesel,First,600000
1396,Toyota Innova Crysta,2016,66618,Diesel,First,1549000
1397,BMW 5 Series,2010,69300,Petrol,Second,1250000
1398,Maruti Swift Dzire,2017,148000,Diesel,First,475000
1399,Ford Ecosport 1.0,2017,22000,Petrol,First,785000
1400,Hyundai Verna CRDi,2013,75000,Diesel,First,600000
1401,Tata Zest Revotron,2016,43706,Petrol,First,400000
1402,Audi A7 2011-2015,2011,42000,Diesel,First,2875000
1403,Tata Indica Vista,2012,65000,Diesel,First,250000
1404,Maruti Swift Dzire,2015,76128,Diesel,First,550000
1405,Fiat Linea Emotion,2010,39852,Petrol,First,159000
1406,Hyundai i20 1.2,2017,18673,Petrol,First,622000
1407,Hyundai EON Era,2016,11583,Petrol,First,275000
1408,Hyundai Santro Xing,2007,82000,Petrol,Second,135000
1409,Mercedes-Benz GLA Class,2017,50000,Diesel,First,2500000
1410,Maruti Celerio VXI,2014,77000,Petrol,First,280000
1411,Chevrolet Beat LT,2014,54890,Petrol,Second,245000
1412,Honda Jazz 1.2,2016,21000,Petrol,First,635000
1413,BMW 3 Series,2009,58557,Diesel,Third,800000
1414,Renault Duster 110PS,2014,70000,Diesel,First,825000
1415,Ford Figo 2015-2019,2017,16000,Petrol,First,595000
1416,Toyota Innova Crysta,2018,8899,Diesel,First,1992000
1417,Chevrolet Beat Diesel,2016,83629,Diesel,First,315000
1418,Volkswagen Polo GTI,2014,35059,Petrol,First,575000
1419,Ford Endeavour 3.2,2018,30552,Diesel,First,3244000
1420,Hyundai Verna 1.6,2016,44875,Diesel,Second,801000
1421,Ford Figo 2015-2019,2017,25095,Petrol,First,648000
1422,Maruti 800 AC,2007,59000,Petrol,First,75000
1423,Honda City i,2014,36000,Diesel,First,500000
1424,Mahindra XUV500 W8,2012,37000,Diesel,First,775000
1425,Ford Figo Diesel,2010,90000,Diesel,First,260000
1426,Ford EcoSport 1.5,2018,17000,Petrol,First,919999
1427,Hyundai i20 Asta,2015,42575,Petrol,First,505000
1428,Toyota Innova 2.5,2012,131000,Diesel,First,960000
1429,Renault Duster 85PS,2013,74000,Diesel,First,550000
1430,Toyota Innova 2.5,2013,47234,Diesel,First,935000
1431,Honda City 1.5,2009,231673,Petrol,First,260000
1432,Maruti Alto K10,2016,10000,Petrol,First,350000
1433,Nissan Micra Active,2016,49389,Petrol,First,426000
1434,Maruti Celerio VXI,2016,12000,Petrol,Second,425000
1435,Mercedes-Benz New C-Class,2010,65000,Petrol,Second,1175000
1436,Ford Fiesta Diesel,2013,177000,Diesel,First,350000
1437,Hyundai Verna 1.6,2015,89000,Petrol,First,750000
1438,Hyundai i20 1.4,2009,72000,Petrol,Third,325000
1439,Maruti Swift Dzire,2012,49000,Petrol,First,490000
1440,Mercedes-Benz New C-Class,2014,51355,Diesel,First,2700000
1441,Hyundai Elite i20,2017,13460,Petrol,First,891000
1442,Hyundai Verna 1.6,2014,35642,Petrol,First,669000
1443,Chevrolet Cruze LTZ,2014,52895,Diesel,First,602000
1444,Toyota Corolla Altis,2010,93000,Petrol,First,450000
1445,Maruti A-Star Vxi,2011,70000,Petrol,First,200000
1446,Nissan Micra Diesel,2012,32048,Diesel,First,240000
1447,Tata Nano LX,2013,4700,Petrol,First,120000
1448,Maruti Swift Dzire,2014,71800,Diesel,First,290000
1449,Land Rover Range,2008,69078,Petrol,First,4088000
1450,Audi Q3 2.0,2016,45000,Diesel,First,2700000
1451,Honda Amaze VX,2016,15388,Diesel,First,750000
1452,Chevrolet Optra 1.6,2004,98798,Petrol,First,150000
1453,Audi Q5 2.0,2016,43000,Diesel,First,3950000
1454,Maruti Ritz VDi,2012,85112,Diesel,First,339000
1455,Mahindra Scorpio S6,2018,37804,Diesel,First,1240000
1456,Maruti Ciaz ZDi,2014,45000,Diesel,First,685000
1457,Toyota Corolla Altis,2011,116000,Diesel,Second,575000
1458,Tata Indica V2,2015,100073,Diesel,Second,200000
1459,Maruti 800 Std,2006,165000,Petrol,First,90000
1460,Volkswagen Polo 1.2,2015,22000,Petrol,First,380000
1461,Hyundai Elantra 2.0,2017,9500,Petrol,First,1635000
1462,Toyota Fortuner 4x2,2012,152000,Diesel,First,1650000
1463,Maruti Baleno Zeta,2019,17705,Petrol,First,869999
1464,Maruti Baleno Zeta,2016,12000,Petrol,First,610000
1465,Mini Cooper Countryman,2013,51000,Diesel,First,2194000
1466,Mercedes-Benz S Class,2009,42000,Diesel,Second,2200000
1467,Maruti Alto K10,2015,51000,Petrol,First,265000
1468,Maruti Swift VXI,2017,42527,Petrol,First,527000
1469,Chevrolet Sail LT,2014,45000,Diesel,First,248000
1470,Toyota Innova 2.5,2011,70000,Diesel,First,600000
1471,Toyota Fortuner 3.0,2009,92000,Diesel,First,890000
1472,BMW 3 Series,2012,57156,Diesel,Second,1800000
1473,Skoda Octavia Ambition,2016,53211,Petrol,First,1164000
1474,Toyota Fortuner 3.0,2019,80000,Diesel,First,899000
1475,Volkswagen Jetta 2007-2011,2009,74000,Diesel,First,525000
1476,Hyundai i20 1.4,2011,37000,Diesel,First,295000
1477,Tata Manza Club,2013,64000,Diesel,Second,265000
1478,Volkswagen Vento Petrol,2013,57197,Petrol,First,400000
1479,Hyundai Creta 1.6,2016,55000,Diesel,First,1250000
1480,Maruti Ritz VXI,2014,33000,Petrol,First,325000
1481,Honda CR-V 2.0L,2008,70000,Petrol,First,400000
1482,Mahindra XUV500 W8,2012,75000,Diesel,Second,625000
1483,Volkswagen Ameo 1.5,2016,58095,Diesel,First,580000
1484,Tata Zest Revotron,2015,7445,Petrol,First,500000
1485,Jaguar XJ 3.0L,2016,17652,Diesel,First,5873000
1486,Toyota Corolla Altis,2018,28321,Petrol,First,1748999
1487,Maruti A-Star Vxi,2011,69000,Petrol,Second,195000
1488,Honda Accord VTi-L,2007,80000,Petrol,First,300000
1489,Hyundai i20 Asta,2014,42365,Petrol,First,550000
1490,Toyota Fortuner 4x2,2013,123000,Diesel,First,1650000
1491,Mercedes-Benz New C-Class,2011,40000,Petrol,Second,1450000
1492,Maruti Baleno Alpha,2016,30112,Diesel,First,779000
1493,Maruti Ertiga VDI,2017,43775,Diesel,First,827000
1494,Chevrolet Optra Magnum,2012,56000,Petrol,First,215000
1495,Honda Civic 2006-2010,2008,95000,Petrol,Second,300000
1496,BMW X3 xDrive20d,2014,41089,Diesel,First,2879000
1497,Skoda Laura Ambition,2011,41988,Diesel,First,545000
1498,Maruti Swift Dzire,2013,72486,Diesel,First,395000
1499,Volvo V40 Cross,2013,92000,Diesel,First,1600000
1500,Maruti Swift Dzire,2013,40000,Petrol,First,425000
1501,Land Rover Range,2014,56000,Diesel,First,3450000
1502,Honda Accord 2.4,2008,125000,Petrol,Third,260000
1503,Toyota Innova 2.5,2017,29219,Diesel,First,1348000
1504,Toyota Fortuner 4x4,2018,39927,Diesel,First,3210000
1505,Honda Jazz 1.2,2018,38593,Petrol,First,617000
1506,Honda City 1.5,2015,32000,Petrol,First,550000
1507,Maruti Dzire AMT,2017,28226,Diesel,First,915000
1508,Nissan Sunny 2011-2014,2014,95000,Diesel,First,450000
1509,Toyota Innova 2.5,2014,194000,Diesel,First,1050000
1510,Honda Brio S,2016,14821,Petrol,First,537000
1511,Volkswagen Vento Petrol,2012,52000,Petrol,First,545000
1512,Mahindra XUV500 W4,2016,33000,Diesel,First,925000
1513,Ford EcoSport 1.5,2016,29200,Diesel,First,770000
1514,Skoda Yeti Ambition,2012,99754,Diesel,First,799000
1515,Hyundai i10 Sportz,2012,49000,Petrol,First,300000
1516,Toyota Innova 2.5,2005,299322,Diesel,First,400000
1517,Tata Zest Quadrajet,2018,38310,Diesel,First,669000
1518,Maruti Swift VDI,2014,56000,Diesel,First,425000
1519,Skoda Rapid 1.5,2017,31300,Diesel,First,1050000
1520,Toyota Innova Crysta,2019,11241,Diesel,First,2255000
1521,Hyundai Verna 1.6,2014,48000,Petrol,Second,520000
1522,Honda City i,2019,23882,Petrol,First,1187000
1523,Honda City i,2014,65000,Diesel,First,699000
1524,Volkswagen Vento Diesel,2011,50000,Diesel,First,500000
1525,Audi Q5 2008-2012,2014,25000,Diesel,First,4400000
1526,Maruti Alto 800,2015,21000,Petrol,First,279000
1527,Tata Manza ELAN,2012,148000,Diesel,Second,290000
1528,Hyundai Creta 1.6,2016,68000,Petrol,First,985000
1529,Mercedes-Benz GL-Class 2007,2014,52000,Diesel,First,4900000
1530,Mahindra Thar CRDe,2016,19000,Diesel,First,925000
1531,Hyundai Verna 1.6,2011,74000,Diesel,Second,375000
1532,Ford Aspire Titanium,2017,30279,Diesel,First,729000
1533,Mini Cooper 3,2016,20000,Diesel,First,2350000
1534,Maruti Omni 8,2013,34834,Petrol,First,260000
1535,Mahindra Verito 1.5,2015,90000,Diesel,Second,310000
1536,Mercedes-Benz E-Class 2009-2013,2016,38730,Diesel,First,2998000
1537,Renault Duster 110PS,2016,57390,Diesel,First,673000
1538,Maruti Swift Dzire,2016,100000,Diesel,First,350000
1539,Volkswagen Polo Petrol,2011,50000,Petrol,First,235000
1540,Mahindra XUV500 W10,2017,64961,Diesel,First,1613000
1541,Volkswagen Polo 1.2,2014,72465,Petrol,First,590000
1542,Maruti Ritz VXI,2012,68776,Petrol,First,390000
1543,Chevrolet Optra 1.6,2005,150000,Petrol,First,150000
1544,Toyota Innova 2.5,2012,68000,Diesel,First,695000
1545,Honda City i,2015,33000,Diesel,First,700000
1546,Volkswagen Ameo 1.2,2017,22389,Petrol,First,723000
1547,Maruti SX4 ZDI,2012,90000,Diesel,First,381000
1548,Maruti Swift ZXI,2012,42000,Petrol,Third,450000
1549,Hyundai Creta 1.6,2017,38767,Diesel,First,1260000
1550,Audi Q7 35,2015,21000,Diesel,First,4800000
1551,Maruti Alto LXi,2010,59136,Petrol,First,296000
1552,Honda Amaze SX,2014,36000,Diesel,First,325000
1553,Volkswagen Passat Diesel,2011,95000,Diesel,Second,850000
1554,Hyundai Elantra CRDi,2013,51000,Diesel,First,875000
1555,Maruti Wagon R,2011,36411,Petrol,First,308000
1556,Land Rover Discovery,2017,40000,Diesel,First,4150000
1557,Honda City i,2016,27300,Petrol,First,700000
1558,Mercedes-Benz New C-Class,2011,29813,Petrol,Second,1150000
1559,Maruti Wagon R,2011,71000,Petrol,First,260000
1560,Hyundai Verna 1.6,2014,32000,Diesel,First,430000
1561,Maruti Ertiga VXI,2017,19234,CNG,First,835000
1562,Volkswagen Tiguan 2.0,2017,50510,Diesel,First,2490000
1563,BMW X1 sDrive,2011,102000,Diesel,First,1375000
1564,Hyundai Grand i10,2014,42277,Diesel,First,385000
1565,Mercedes-Benz E-Class E250,2014,46000,Diesel,First,2325000
1566,Mahindra Bolero ZLX,2012,35000,Diesel,First,700000
1567,Hyundai Grand i10,2015,50000,Petrol,First,575000
1568,Hyundai i10 Magna,2008,62000,Petrol,Second,165000
1569,Volkswagen Jetta 2012-2014,2012,78000,Diesel,First,650000
1570,Skoda Yeti Elegance,2011,79000,Diesel,First,750000
1571,Toyota Fortuner 3.0,2010,135000,Diesel,Second,1100000
1572,Maruti Wagon R,2013,36716,Petrol,First,302000
1573,Hyundai EON Era,2013,65060,Petrol,First,332000
1574,Honda Brio S,2013,33000,Petrol,First,324000
1575,Maruti Alto 800,2015,11110,Petrol,First,235000
1576,Mahindra Bolero ZLX,2013,63000,Diesel,First,550000
1577,Honda City i,2015,27030,Petrol,First,675000
1578,Skoda Rapid 1.6,2015,19600,Petrol,First,615000
1579,Maruti Swift VVT,2016,27755,Petrol,First,545000
1580,Hyundai EON Magna,2013,20000,Petrol,Second,229999
1581,Maruti Swift Dzire,2015,24782,Petrol,First,621000
1582,Nissan Micra XV,2014,47303,Petrol,First,521000
1583,Audi Q7 4.2,2008,71000,Petrol,First,1199000
1584,Maruti Swift Vdi,2010,135000,Diesel,First,310000
1585,Tata Xenon XT,2017,1000,Diesel,First,750000
1586,Volkswagen Polo 1.5,2016,29000,Diesel,First,400000
1587,Honda City i,2016,36367,Petrol,First,773000
1588,Honda City i,2015,38000,Petrol,First,780000
1589,Maruti 800 AC,2011,83969,Petrol,First,130000
1590,Volkswagen Polo 1.5,2014,82621,Diesel,First,442000
1591,Chevrolet Captiva LTZ,2009,89000,Diesel,First,400000
1592,Mahindra XUV500 W10,2016,54000,Diesel,First,1300000
1593,Honda Amaze VX,2015,61691,Diesel,First,538000
1594,Hyundai i20 1.2,2011,32200,Petrol,Second,325000
1595,Maruti Wagon R,2016,68630,Petrol,First,387000
1596,Volkswagen Jetta 2013-2015,2014,61000,Diesel,Second,825000
1597,Maruti Ciaz 1.4,2018,32644,Petrol,First,927999
1598,Mahindra Scorpio 2009-2014,2012,85000,Diesel,First,625000
1599,Chevrolet Aveo U-VA,2008,75000,Petrol,Second,114999
1600,Maruti Ciaz ZXi,2016,40347,Petrol,First,780000
1601,Hyundai i20 1.4,2012,60788,Diesel,First,450000
1602,Honda Jazz 1.2,2018,18664,Petrol,First,756000
1603,Mahindra XUV500 W10,2017,57847,Diesel,First,1607999
1604,Hyundai i20 1.2,2012,52237,Petrol,First,450000
1605,Hyundai Verna 1.6,2012,128000,Diesel,First,500000
1606,Hyundai i10 Era,2011,54000,Petrol,First,220000
1607,Maruti Celerio VXI,2014,49800,Petrol,First,400000
1608,Skoda Fabia 1.2,2012,98000,Diesel,First,250999
1609,Maruti Swift VDI,2015,60095,Diesel,First,475000
1610,Hyundai i10 Magna(O),2008,68000,Petrol,Second,200000
1611,Hyundai i10 Magna,2010,81402,Petrol,Second,210000
1612,Ford Ecosport 1.5,2013,38000,Petrol,First,625000
1613,Mercedes-Benz E-Class 2009-2013,2011,92239,Diesel,Second,1060000
1614,Maruti Swift VDI,2017,49224,Diesel,First,600000
1615,Maruti 800 Std,2004,12000,Petrol,Second,45000
1616,Maruti Swift Lxi,2010,54898,Petrol,Third,250000
1617,Hyundai Creta 1.6,2018,2500,Petrol,First,1275000
1618,BMW X1 M,2017,32838,Diesel,First,3029000
1619,Ford Ikon 1.3,2006,27076,Petrol,First,160000
1620,Ford Ecosport 1.5,2017,75445,Diesel,First,754000
1621,Maruti Ciaz VXi,2015,46601,Petrol,First,684000
1622,Volkswagen Passat Diesel,2012,72000,Diesel,First,600000
1623,Honda Jazz 1.5,2017,27000,Diesel,First,800000
1624,Audi A4 35,2016,68193,Diesel,First,2474000
1625,Hyundai Grand i10,2017,34429,Diesel,First,550000
1626,Mercedes-Benz GL-Class 2007,2013,46000,Diesel,First,3600000
1627,Toyota Innova 2.5,2013,80544,Diesel,First,1179000
1628,Nissan Sunny 2011-2014,2011,42000,Petrol,Second,300000
1629,Skoda Laura Ambiente,2011,94821,Diesel,Second,675000
1630,Chevrolet Aveo 1.4,2006,100000,Petrol,First,140000
1631,Honda Mobilio V,2014,57000,Diesel,First,575000
1632,Maruti Ritz VDi,2010,79894,Diesel,First,340000
1633,Volkswagen Polo Petrol,2011,44748,Petrol,Second,488999
1634,Nissan Terrano XL,2013,31000,Petrol,First,495000
1635,Maruti A-Star AT,2013,60587,Petrol,Second,349000
1636,Toyota Etios Liva,2011,32000,Diesel,First,385000
1637,Honda City 1.5,2014,43772,Petrol,First,635000
1638,Hyundai Grand i10,2017,23576,Petrol,First,708000
1639,Jaguar XE 2.0L,2017,4000,Diesel,First,3800000
1640,Mahindra Scorpio VLX,2012,62000,Diesel,First,625000
1641,Mercedes-Benz New C-Class,2011,36000,Petrol,First,1015000
1642,Skoda Superb Elegance,2014,80000,Petrol,First,1075000
1643,Chevrolet Cruze LTZ,2012,137008,Diesel,First,465000
1644,Mahindra Scorpio VLX,2010,61001,Diesel,First,475000
1645,Hyundai Verna 1.6,2015,52191,Petrol,First,778000
1646,Hyundai i20 1.4,2016,77076,Diesel,First,675000
1647,Honda City ZX,2008,56000,Petrol,First,299000
1648,Hyundai i10 Magna,2013,21000,Petrol,First,235000
1649,Honda Amaze S,2013,89429,Diesel,First,365000
1650,Maruti Wagon R,2012,45631,Petrol,Second,274000
1651,Honda Brio S,2013,53959,Petrol,First,350000
1652,Hyundai i20 1.2,2014,55804,Petrol,First,476000
1653,Volkswagen Vento 2013-2015,2016,25899,Petrol,First,620000
1654,Skoda Octavia Rider,2008,82000,Diesel,Second,235000
1655,Mercedes-Benz E-Class 2015-2017,2014,52000,Diesel,First,2450000
1656,Renault Duster Petrol,2013,20000,Petrol,First,600000
1657,Hyundai EON Sportz,2017,31829,Petrol,First,365000
1658,Maruti Swift VXI,2016,18094,Petrol,Second,626000
1659,Nissan Micra Diesel,2011,80000,Diesel,Second,210000
1660,Audi Q5 3.0,2015,11964,Diesel,First,3295000
1661,Hyundai i20 1.2,2018,22684,Petrol,First,780000
1662,Honda Brio S,2014,43521,Petrol,First,425000
1663,Maruti Swift Dzire,2014,49386,Petrol,First,486000
1664,Hyundai Grand i10,2017,12248,Petrol,First,490000
1665,Mahindra Xylo E8,2014,67771,Diesel,First,706000
1666,Volkswagen Polo GTI,2015,60007,Petrol,First,450000
1667,Maruti Alto K10,2011,48624,Petrol,First,322000
1668,Volkswagen Polo Diesel,2014,30000,Diesel,First,325000
1669,Hyundai Grand i10,2016,81605,Petrol,First,453000
1670,Mercedes-Benz New C-Class,2017,32642,Diesel,First,3478000
1671,Hyundai Verna 1.6,2014,34200,Petrol,First,650000
1672,Fiat Punto EVO,2010,72204,Petrol,First,225000
1673,Toyota Innova 2.5,2011,156347,Diesel,Second,800000
1674,Mahindra TUV 300,2017,47357,Diesel,First,836999
1675,Volkswagen Polo 1.5,2015,61738,Diesel,First,539000
1676,BMW 5 Series,2018,32586,Diesel,First,3729999
1677,Mercedes-Benz M-Class ML,2012,51000,Diesel,First,2225000
1678,Hyundai Grand i10,2018,10393,Petrol,First,603000
1679,Skoda Superb Elegance,2011,46000,Petrol,First,490000
1680,Hyundai i10 Sportz,2013,21000,Petrol,First,396000
1681,Hyundai i20 1.4,2011,113562,Diesel,First,459999
1682,Mahindra Scorpio VLX,2011,100010,Diesel,Second,550000
1683,Honda Brio V,2013,63107,Petrol,First,325000
1684,Hyundai i20 1.2,2017,58500,Petrol,First,625000
1685,Ford Endeavour 4x2,2007,90000,Diesel,Fourth & Above,300000
1686,Hyundai Verna CRDi,2011,108242,Diesel,First,425000
1687,Toyota Fortuner 3.0,2011,146300,Diesel,First,1225000
1688,BMW X1 sDrive20d,2011,62943,Diesel,Second,1095000
1689,Toyota Fortuner 4x2,2013,65000,Diesel,First,1650000
1690,Honda Amaze V,2018,1700,Petrol,First,780000
1691,Hyundai i10 Era,2013,34697,Petrol,First,370000
1692,Hyundai i20 1.2,2012,58000,Petrol,First,400000
1693,BMW 3 Series,2015,32500,Diesel,First,2675000
1694,Audi Q3 35,2016,58661,Diesel,First,2803000
1695,Maruti Swift VXI,2017,37124,Petrol,First,544000
1696,Maruti Baleno Delta,2017,44000,Petrol,First,620000
1697,Hyundai Accent GLE,2005,45200,Petrol,First,90000
1698,Maruti Ritz LXi,2016,11000,Petrol,First,395000
1699,Tata Nano Lx,2011,65000,Petrol,Second,44000
1700,Ford Figo Diesel,2012,55005,Diesel,First,275000
1701,Volkswagen Passat Diesel,2011,81650,Diesel,First,750000
1702,Fiat Linea Emotion,2010,160000,Diesel,Second,250000
1703,Mahindra Xylo D4,2015,169000,Diesel,First,500000
1704,Maruti Wagon R,2013,67263,Petrol,First,360000
1705,Toyota Etios G,2012,44223,Petrol,First,399000
1706,Hyundai Grand i10,2015,36840,Petrol,First,564000
1707,Toyota Innova 2.5,2014,160000,Diesel,First,1200000
1708,Tata Indica V2,2008,133000,Diesel,First,70000
1709,BMW 3 Series,2015,69123,Diesel,First,1900000
1710,Ford Endeavour 3.2,2017,38000,Diesel,First,3048000
1711,Maruti Ciaz Zeta,2017,5500,Petrol,First,819999
1712,Ford Figo 1.5D,2015,1001,Diesel,First,755000
1713,Chevrolet Aveo U-VA,2007,59000,Petrol,Third,99000
1714,Honda City 1.5,2011,78256,Petrol,First,415000
1715,Nissan Sunny XL,2016,90000,Petrol,First,620000
1716,Maruti Swift Dzire,2016,18000,Petrol,First,440000
1717,Ford Figo Diesel,2012,60000,Diesel,First,210000
1718,Fiat Grande Punto,2011,130000,Diesel,First,220000
1719,Hyundai Elite i20,2018,32851,Petrol,First,834000
1720,Maruti Swift Dzire,2014,32000,Diesel,First,434999
1721,Ford Ecosport 1.5,2014,62700,Diesel,First,680000
1722,Maruti Swift Dzire,2010,71000,Diesel,First,330000
1723,Hyundai Grand i10,2016,19947,Petrol,First,504000
1724,Ford Endeavour 3.0L,2012,91000,Diesel,First,919999
1725,Volkswagen Polo Diesel,2014,74000,Diesel,First,570000
1726,Mahindra TUV 300,2018,55594,Diesel,First,848000
1727,BMW X6 xDrive,2013,58000,Diesel,First,4800000
1728,Renault Duster 110PS,2012,110224,Diesel,First,610000
1729,Maruti Wagon R,2010,21002,Petrol,First,275000
1730,Maruti Ertiga SHVS,2017,121000,Diesel,First,800000
1731,Maruti Alto LXi,2010,73513,Petrol,First,185000
1732,Maruti Wagon R,2015,34000,Petrol,First,385000
1733,Maruti Eeco 7,2017,28371,Petrol,First,474000
1734,Renault Duster 110PS,2013,74755,Diesel,First,563000
1735,Maruti Zen Estilo,2011,25805,Petrol,First,262000
1736,Renault Duster Petrol,2015,82603,Petrol,First,490000
1737,Honda Civic 2006-2010,2006,110000,Petrol,First,265000
1738,Mahindra XUV500 W8,2012,88000,Diesel,First,599000
1739,Mahindra Verito 1.5,2011,110000,Diesel,Second,240000
1740,Renault KWID Climber,2017,15000,Petrol,First,425000
1741,Porsche Cayenne Diesel,2013,70000,Diesel,First,4000000
1742,Maruti Swift DDiS,2008,150000,Diesel,Second,270000
1743,Datsun GO T,2016,19000,Petrol,First,299000
1744,Hyundai i20 1.2,2011,37442,Petrol,First,340000
1745,BMW 5 Series,2016,63111,Diesel,Second,3080000
1746,Maruti Ertiga ZDI,2012,88000,Diesel,First,585000
1747,Hyundai Grand i10,2014,42355,Petrol,First,400000
1748,BMW 3 Series,2011,75871,Petrol,First,1412000
1749,Chevrolet Cruze LTZ,2011,65000,Diesel,First,455000
1750,Mercedes-Benz M-Class ML,2015,69000,Diesel,First,3800000
1751,Maruti Ritz LDi,2011,79232,Diesel,First,290000
1752,Mercedes-Benz New C-Class,2007,220000,Petrol,Second,600000
1753,Hyundai i20 1.2,2016,28470,Petrol,First,695000
1754,Hyundai EON 1.0,2014,9759,Petrol,First,275000
1755,Maruti Swift VDI,2014,75216,Diesel,First,509999
1756,Hyundai i20 Sportz,2017,8000,Petrol,First,675000
1757,Maruti Ritz ZXi,2014,59451,Petrol,First,369000
1758,Maruti Swift VDI,2013,53996,Diesel,First,545000
1759,Honda WRV i-VTEC,2018,15135,Petrol,First,928999
1760,Hyundai Xcent 1.2,2015,53000,Petrol,Second,400000
1761,Honda Amaze E,2013,40000,Petrol,First,290000
1762,Hyundai Verna 1.6,2013,21107,Petrol,First,525000
1763,Honda City V,2014,56000,Petrol,First,575000
1764,Hyundai Creta 1.6,2017,19623,Petrol,First,1312000
1765,Mahindra XUV500 W8,2014,70963,Diesel,First,783000
1766,Maruti Wagon R,2013,25755,CNG,First,315000
1767,Toyota Innova 2.5,2013,51450,Diesel,First,1040000
1768,Maruti Swift VDI,2012,75000,Diesel,First,434999
1769,Maruti Wagon R,2017,37832,Petrol,First,523000
1770,Hyundai Grand i10,2016,43041,Petrol,First,601000
1771,Honda Amaze VX,2014,97236,Diesel,First,440000
1772,BMW 3 Series,2010,83000,Diesel,First,1275000
1773,Ford Figo Petrol,2011,65000,Petrol,First,240000
1774,Volkswagen Ameo 1.2,2018,46007,Petrol,First,571000
1775,Ford Ecosport 1.5,2015,65925,Diesel,Second,549000
1776,Honda City 1.3,2004,73500,Petrol,Second,130000
1777,Mahindra XUV500 W6,2014,55000,Diesel,First,850000
1778,Toyota Fortuner 4x2,2012,115000,Diesel,First,1299000
1779,Hyundai Grand i10,2017,31184,Petrol,First,500000
1780,Maruti Dzire AMT,2017,41747,Diesel,First,900000
1781,Maruti Swift VDI,2016,38143,Diesel,First,522000
1782,Volkswagen Polo Petrol,2012,19030,Petrol,First,380000
1783,Toyota Etios Liva,2019,20877,Petrol,First,727000
1784,Maruti Swift VXI,2016,23555,Petrol,First,509999
1785,Mercedes-Benz E-Class 2009-2013,2013,29000,Diesel,First,2900000
1786,Maruti Wagon R,2013,61000,Petrol,First,290000
1787,Tata Nano Lx,2012,4187,Petrol,First,138000
1788,Skoda Laura 1.8,2011,46000,Petrol,First,550000
1789,Volkswagen Polo GT,2016,28000,Petrol,First,725000
